"","Label","Marker"
"1","Adipoce stem and progenitor cells-0","Ggt5, 4930438E09Rik, Pcolce, Rxfp2, Gm10115, Mmp27, Gm10855, Mmp23, Itga11, Wnt2"
"2","Adipoce stem and progenitor cells-1","Adamts12, Fam150b, A830012C17Rik, Gm26070, Gm10855, Ccl11, Cd248, Clec3b, Hpca, Ifi204"
"3","Adipoce stem and progenitor cells-2","Gm17057, Htra3, Clec3b, Gpr153, Ccl11, Gm12796, Medag, Unc45bos, Ssc5d, Gm15851"
"4","Adipoce stem and progenitor cells-3","Olfr655, Gm11816, A830012C17Rik, Ssc5d, Dact2, RP24-485J8.3, Ccl11, Wnt10b, Rcvrn, Gm12796"
"5","Adipoce stem and progenitor cells-4","Adamts16, Spon2, Loxl1, Ccl11, Sfrp4, Ssc5d, Clec3b, Rhoj, Gm26132, Asap3"
"6","Adipoce stem and progenitor cells-5","Mmp23, Larp6, Kdelr3, Srpx, Prtg, Cyp20a1, Casp12, RP24-485J8.3, A830012C17Rik, Rab3il1"
"7","Adipoce stem and progenitor cells-6","Pla1a, Ms4a4d, Prrx2, Rab34, Ddah2, PCDHGB6.3, Pcolce, Gm12122, Clec3b, Ccl11"
"8","Adipoce stem and progenitor cells-7","Plac9a, Kdelr3, Osr1, Ifi204, Gm12796, Cyp1b1, Twist2, Ccl11, Unc45bos, Pcolce"
"9","Adipoce stem and progenitor cells-8","Ism1, Cyp1b1, Gm15958, Ccdc142os, Nr2f1, Gm11146, Tulp2, Pcolce, Mmp23, Gm6878"
"10","Adipoce stem and progenitor cells-9","Ebf2, Dtx2, Hoxc8, Gm12426, Cebpa, Gm12796, Unc45bos, Adm, Emp3, Gm9947"
"11","Adipoce stem and progenitor cells-10","Gdf10, Lrrc17, Ccl11, Avpr1a, A830012C17Rik, Clec3b, Fam69c, Gm26132, Cyp1b1, Adm"
"12","Adipoce stem and progenitor cells-11","Copz2, Gpr153, Igfbp6, 4930438E09Rik, Duoxa1, Mtap7d3, Pygo1, Capg, 1600029O15Rik, Gabre"
"13","Adipoce stem and progenitor cells-12","Slit3, Klhl13, Srpx, Loxl1, Pla1a, 4833403I15Rik, Ackr2, Prdm8, Sertad4, Clec3b"
"14","Adipoce stem and progenitor cells-13","Adamts15, Fgf10, Gabra3, Gfpt2, Adam33, E130111B04Rik, A830012C17Rik, Gm12796, Klhl13, Cpxm1"
"15","Adipoce stem and progenitor cells-14","Alx4, RP24-485J8.3, 2810430I11Rik, Entpd2, Gm17057, Cpxm1, Cd248, Ssc5d, RP23-100P14.3, E130111B04Rik"
