"","Label","Markers"
"1","aDC1","GPR153, GPR157, CD1E, TNNT2, LAD1, HSD11B1-AS1, G0S2, NEURL3, NRP2, LAMP3"
"2","aDC2","PRDM16, S100A2, LAD1, LAMP3, FABP4, BX255923.2, MYOZ1, C11orf96, NRXN2, SLC6A12"
"3","aDC3","LAD1, LAMP3, FSCN1, AOC1, IDO1, CCL19, RASSF4, LGALS2, TMEM176A, TIFAB"
"4","Basal cells","SFN, GJB5, GBP6, S100A2, S100A16, S100A14, MIR205HG, MAB21L4, ADH7, PITX1"
"5","C1Q HLA macrophages","TNFRSF9, C1QA, C1QC, C1QB, C1orf54, LMNA, SLAMF8, FCER1G, FCGR3A, OLFML2B"
"6","CD14+CD55+ FDC","ANKRD65, VWA1, RNF207, TNFRSF9, PDPN, EPHB2, GJB3, GJA4, DNALI1, CYP4B1"
"7","CD16-CD56- NK","CD160, FCER1G, FCGR3A, SH2D1B, XCL2, XCL1, FASLG, GNLY, IL18RAP, EOMES"
"8","CD16-CD56+ NK","FCER1G, SH2D1B, XCL2, XCL1, LINC00299, ID2, GNLY, IL18RAP, SPTSSB, GZMK"
"9","CD16+CD56- NK","FCRL6, FCGR3A, SH2D1B, GNLY, IL18RAP, CXCR2, CXCR1, CX3CR1, FGFBP2, GZMA"
"10","CD56+ gd T","ZNF683, FCRL6, XCL2, XCL1, LINC01871, GNLY, CD8A, ITGA1, PPP2R2B, TRGC2"
"11","CD8 Tf","TNFRSF9, RGS4, XCL2, XCL1, FASLG, CD8A, AGAP1, LINC02084, EOMES, LINC01967"
"12","CM CD8 T","CD2, CD8A, CD8B, GPR171, IL7R, ITGA1, GZMK, GZMA, SAMD3, GIMAP7"
"13","CM Pre-non-Tfh","TNFRSF4, TNFRSF25, DHRS3, RCAN3, LDLRAP1, MAN1C1, EPB41, LCK, PATJ, AK5"
"14","CM PreTfh","RCAN3, LDLRAP1, MAN1C1, EPB41, JUN, NFIA, PATJ, SYDE2, LRRC8C, DPYD"
"15","Crypt","FHAD1, IGSF21, TMEM54, GJB4, GJB3, CYP4X1, TACSTD2, GNG12, ARHGAP29, PALMD"
"16","csMBC","CNR2, SMAP2, PATJ, PDE4B, ST6GALNAC3, LINC01781, DRAM2, SLC22A15, NOTCH2, TXNIP"
"17","csMBC FCRL4+","KIF1B, TNFRSF1B, EFHD2, RUNX3, SH3BGRL3, CD52, FGR, THEMIS2, PTAFR, S100PBP"
"18","CXCR6+ RM CD8 T","CD2, CD160, PYHIN1, FCRL6, SLAMF7, CD244, XCL2, FASLG, LGR6, LINC01871"
"19","Cycling","C1QA, C1QC, C1QB, PLA2G7, IL22RA2, SERPINA1, MMP9, DAB2, MS4A6A, CD300LF"
"20","cycling FDC","WLS, VCAM1, S100A1, DDR2, PRRX1, FCAMR, LAMB3, G0S2, VIT, EPAS1"
"21","cycling T","HES4, TNFRSF18, TNFRSF4, TNFRSF25, TNFRSF1B, UBXN10-AS1, STMN1, LCK, CLSPN, HEYL"
"22","DC recruiters CD8 T","CD160, FCRL6, CD244, XCL2, XCL1, LINC01871, GNLY, CD8A, CD8B, LINC02084"
"23","DC1 mature","MYCL, TACSTD2, NEGR1, LINC01750, PPM1J, LINC01356, LINC01357, TSPAN2, C1orf54, SHE"
"24","DC1 precursor","LINC01750, C1orf54, RAB7B, BATF3, XCR1, RAB32, CPVL, IDO1, SHTN1, CLEC9A"
"25","DC2","TMEM51, TRNP1, FGR, CSF3R, FHL3, MYCL, ELAVL4, CTTNBP2NL, CD101, ADAMTSL4"
"26","DC3","MYCL, MTMR11, S100A12, CD1E, FCER1A, RGS18, IL1B, MARCO, CAVIN2, CX3CR1"
"27","DC4","TMEM51, CSF3R, MYCL, ETV3L, SLAMF8, FCGR3A, RGS18, NID1, MARCO, P2RY13"
"28","DC5","CSF3R, MYCL, ATP1A2, FCER1G, RGS18, SLC8A1, IL1B, SCN9A, SLC4A3, SH3BP4"
"29","DN","MIR4422HG, S100A6, SLAMF7, CD247, FASLG, IL19, LYST, LINC01833, LCT, CD28"
"30","DZ FDC","LINC02593, ANKRD65, MMP23B, RNF207, TNFRSF9, COL16A1, CSF3R, PTPRF, CYP4B1, CYP4X1"
"31","DZ migratory PC precursor","LINC01333, LINC02362, LINC02523, LRRC52-AS1, MBL2, LINC01484, SDC1, LINC01717, DERL3, FNDC3B"
"32","DZ_G2M_CCNBHigh","INTS11, AURKAIP1, NADK, GNB1, CEP104, CAMTA1, SLC2A5, SLC25A33, PIK3CD, CLSTN1"
"33","DZ_G2M_HistoneHigh","INTS11, AURKAIP1, CDK11B, NADK, GNB1, CAMTA1, SLC2A5, CLSTN1, CTNNBIP1, LZIC"
"34","DZ_Sphase","INTS11, CPTP, AURKAIP1, MRPL20, NADK, GNB1, ICMT, PHF13, THAP3, CAMTA1"
"35","DZ_Sphase_HistoneHigh","UBE2J2, PUSL1, INTS11, AURKAIP1, ATAD3A, CDK11B, NADK, GNB1, RER1, TP73"
"36","DZ-cell cycle exit","STMN1, HMGN2, CDC20, NUF2, ASPM, CENPF, CENPE, HMGB2, CCNB1, PTTG1"
"37","DZ-nonproliferative","STMN1, HMGN2, ATP5IF1, LSM10, PRDX1, LAMTOR5, ANP32E, S100A10, MPC2, ARPC5"
"38","DZ-nonproliferative_FOXP1hi","CPTP, TAS1R3, NOL9, TAS1R1, THAP3, SLC2A5, FUCA1, CLIC4, SYF2, STMN1"
"39","DZ/LZ","LINC01134, SLC2A5, SPEN, CAPZB, CLIC4, SYF2, EYA3, PTAFR, ATP5IF1, LAPTM5"
"40","Early GC-commited MYC+","DUSP2, RASGEF1B, EGR1, CD74, PHACTR1, CD83, HLA-DRA, HLA-DRB5, HLA-DRB1, HLA-DQA1"
"41","Early PC precursor","FRZB, SPARCL1, LINC01484, PPP1R17, TMEM52B, ETV7, PRDM1, RASSF6, FMNL2, NKX6-3"
"42","Eff-Tregs","HES4, TNFRSF18, TNFRSF4, TNFRSF25, TNFRSF1B, LCK, GBP2, GBP5, CSF1, CD2"
"43","epithelial_multiome","RNF223, ARHGEF16, ERRFI1, MIR34AHG, KAZN, TMEM51-AS1, TMEM51, EPHA2, PADI1, PADI3"
"44","FCRL5+ MBC","FCRL5, KYNU, CCR1, HOPX, HLA-DPB1, DNAH8, KCNMA1, MS4A1, BHLHE41, SSPN"
"45","FDC_multiome","PRDM16, GPR153, PDPN, ARHGEF10L, PLA2G2A, EPHB2, CYP4B1, CYP4X1, GLIS1, GNG12"
"46","FDCSP epithelium","PLA2G2F, SFN, PDZK1IP1, SPRR1B, SPRR2D, SPRR2F, S100A12, S100A16, S100A14, IL36G"
"47","FRC","CD164L2, CYP4X1, ARHGAP29, MIR205HG, LINC01139, MAB21L4, LINC02009, MAGI1-IT1, C6orf141, IFNE"
"48","GC-commited metabolic activation","ENO1, SRM, MRTO4, YBX1, EBNA1BP2, PRDX1, SERBP1, CCT3, GPATCH4, STUM"
"49","GC-commited MIR155HG-","FCRL5, PARP14, PHACTR1, CD83, HLA-DRA, HLA-DRB1, HLA-DQA1, HLA-DQB1, CD72, BIRC3"
"50","GC-commited MIR155HG+","MFSD2A, HIVEP3, FCRL5, SLAMF1, REL, DUSP2, ARHGAP31, PARP14, TFRC, NFKB1"
"51","GC-Tf-regs","PYHIN1, CD247, F5, TLR5, SUSD4, CHRM3-AS2, AAK1, MAL, CHN1, PLCL1"
"52","GC-Tfh-0X40","TNFRSF18, TNFRSF4, TNFRSF25, PLK3, GBP2, KIAA1324, IGSF3, CD2, PYHIN1, RGS4"
"53","GC-Tfh-SAP","TNFRSF18, TNFRSF4, PRKCZ, TNFRSF25, TNFRSF1B, CAMK2N1, ID3, SH3BGRL3, LCK, KIAA0319L"
"54","IFN1+ PDC","EPHA2, LINC01226, MYCL, TTC39A, FCER1A, FCER1G, LINC01724, SLC35F3, PROC, SCN9A"
"55","IgD PC precursor","SLC6A9, SLAMF7, SDC1, FRZB, CHPF, GMPPB, LINC00698, SYNPR, PDIA5, FNDC3B"
"56","IgG+ PC precursor","SDF4, PIK3CD-AS2, SRM, C1orf167, PINK1, DDOST, PDIK1L, CNKSR1, THEMIS2, SMPDL3B"
"57","IgM+ early PC precursor","OR4M2, LGALS16, LINC02437, VPREB1, LINC01965, CFAP54, RASSF6, LINC01484, OR1B1, PRDM1"
