"","Label","Markers"
"2","Alveolar Mφ CCL3+","MCEMP1, UPP1, HLA-DQA1, C5AR1, HLA-DMA, AIF1, LST1, LINC01272, MRC1, CCL18"
"3","Multiciliated (non-nasal)","SNTN, FAM229B, TMEM231, C5orf49, C12orf75, GSTA1, C11orf97, RP11-356K23.1, CD24, RP11-295M3.4"
"4","Goblet (nasal)","KRT7, MUC1, MUC5AC, MSMB, CP, LMO7, LCN2, CEACAM6, BPIFB1, PIGR"
"5","Club (nasal)","ELF3, C19orf33, KRT8, KRT19, TACSTD2, MUC1, S100A14, CXCL17, PSCA, FAM3D"
"6","Monocyte derived Mφ","LYZ, ACP5, TYROBP, LGALS1, CD68, AIF1, CTSL, EMP3, FCER1G, LAPTM5"
"7","Alveolar Mφ proliferating","H2AFV, STMN1, LSM4, GYPC, PTTG1, KIAA0101, FABP4, CKS1B, UBE2C, HMGN2"
"8","Club (non-nasal)","SCGB3A1, CYP2F1, GSTA1, HES4, TSPAN8, TFF3, MSMB, BPIFB1, SCGB1A1, PIGR"
"9","SMG serous (bronchial)","AZGP1, ZG16B, PIGR, NDRG2, LPO, C6orf58, DMBT1, PRB3, FAM3D, RP11-1143G9.4"
"10","Multiciliated (nasal)","RP11-356K23.1, EFHC1, CAPS, ROPN1L, RSPH1, C9orf116, TMEM190, DNALI1, PIFO, ODF3B"
"11","Goblet (bronchial)","MUC5AC, MSMB, PI3, MDK, ANKRD36C, TFF3, PIGR, SAA1, CP, BPIFB1"
"12","Interstitial Mφ perivascular","MRC1, RNASE1, FGL2, RNASE6, HLA-DPA1, GPR183, CD14, HLA-DPB1, MS4A6A, AIF1"
"13","Goblet (subsegmental)","MDK, MUC5B, SCGB1A1, CP, C3, TSPAN8, TFF3, MSMB, PIGR, BPIFB1"
"14","SMG serous (nasal)","ZG16B, MUC7, C6orf58, PRB3, LTF, LYZ, PRR4, AZGP1, PIGR, RP11-1143G9.4"
"15","Alveolar Mφ MT-positive","GSTO1, LGALS1, CTSZ, MT2A, APOC1, CTSL, UPP1, CCL18, FABP4, MT1X"
