"","Label","Markers"
"1","aDC1","LAMP3, RASSF4, FSCN1, MARCKS, TNFAIP2, TYROBP, CSF2RA, GSN, TMEM176B, IDO1"
"2","aDC2","S100B, LAMP3, CCL22, SHTN1, S100A2, SDC4, PRDM16, GJA1, FLT3, AC090559.1"
"3","aDC3","FSCN1, LGALS2, IDO1, RASSF4, CST3, CCL19, TYROBP, LAMP3, TMEM176A, TMEM176B"
"4","Basal cells","S100A8, KRT5, SFN, S100A2, KRT14, SPINK5, S100A14, KRT6A, S100A16, KRT13"
"5","C1Q Slan-like","LYZ, CST3, C1QA, C1QC, C1QB, TYROBP, AIF1, FCER1G, MMP9, TMEM176B"
"6","CD14+CD55+ FDC","VCAM1, IGFBP7, RARRES2, SERPINE2, CXCL13, ANKRD29, CXCL14, NOVA1, TNFAIP2, CALD1"
"7","CD16-CD56+ NK","GNLY, KLRD1, NKG7, TYROBP, CTSW, TRDC, FCER1G, ID2, XCL2, PRF1"
"8","CD16-CD56dim NK","KLRD1, TYROBP, NKG7, GNLY, TRDC, CTSW, FCER1G, KLRK1, IL2RB, KLRB1"
"9","CD16+CD56- NK","NKG7, KLRD1, GNLY, GZMA, PRF1, CST7, GZMB, CTSW, CCL4, GZMH"
"10","CD8 Tf","GZMK, CST7, CCL5, NKG7, GZMA, IL32, CCL4, EOMES, SH2D1A, CD8A"
"11","CM CD8 T","IL7R, CCL5, IL32, ANXA1, GIMAP7, CD3D, GIMAP4, CD3E, CD3G, CD2"
"12","CM Pre-non-Tfh","IL7R, GIMAP7, CD3D, IL32, CD3G, GIMAP4, CD3E, FYB1, CD2, ANXA1"
"13","CM PreTfh","IL7R, FYB1, GIMAP7, CD3D, CD3G, BCL11B, CD3E, IL6ST, IL32, GIMAP4"
"14","COL27A1+ FDC","TNFAIP2, CLU, MAP1LC3A, ANKRD29, NFIA, FDCSP, DST, NOVA1, TPM1, EPHX2"
"15","Crypt","CSTA, KRT19, CCL20, IDO1, MT3, IFI27, FXYD3, SPINK5, S100P, HPGD"
"16","csMBC","BANK1, TNFRSF13B, ADAM28, LINC01781, AIM2, MARCH1, SCIMP, BHLHE41, ARHGAP24, SMIM14"
"17","csMBC FCRL4/5+","FCRL4, TNFRSF13B, BHLHE41, FCRL5, ENTPD1, CCR6, CCDC50, PTPN1, ZEB2, CAPG"
"18","Cycling","LYZ, CST3, LGALS2, MS4A6A, TYROBP, S100B, FCER1G, C1QA, C1QC, IGSF6"
"19","cycling FDC","CLU, FDCSP, PTGDS, CSTA, IGFBP7, RARRES2, CXCL13, SERPINE2, G0S2, MAP1LC3A"
"20","cycling T","CD3D, CD3E, CD3G, CD2, FYB1, IL32, STMN1, LAT, BCL11B, TRAC"
"21","DC recruiters CD8 T","NKG7, CCL5, GZMK, CST7, GZMA, KLRK1, CCL4, IL32, KLRG1, KLRD1"
"22","DC1 mature","CPVL, FGL2, DNASE1L3, LGALS2, CST3, SHTN1, LYZ, IDO1, C1orf54, ID2"
